BORE_ID,HEADER_ID,STATE_NAME,COUNTY_NAME,WELL_PROFILE_CODE,FIRST_ELEVATION,FIRST_ELEVATION_TYPE_CODE,FIRST_ELEVATION_SOURCE,SECOND_ELEVATION,SECOND_ELEVATION_TYPE_CODE,SECOND_ELEVATION_SOURCE,GROUND_ELEVATION,GROUND_ELEVATION_SOURCE,GROUND_ELEVATION_TYPE,KB HEIGHT,WELL_DATE,LATITUDE,LONGITUDE,KB_HEIGHT_ACTUAL,KB_HEIGHT_PREDICTED
7612730,7490939,ND,MOUNTRAIL,H,2328.0,KB,ST_NDOGD,,,,2301.0,ST_NDOGD,GR,27,2014-11-01,48.1402653712469,-102.619970691653,27,24.665195288078614
7610575,7488858,TX,MONTAGUE,H,920.0,KB,ST_TXRRC,920.0,DF,ST_TXRRC,906.0,ST_TXRRC,GR,14,2014-08-18,33.4469466639916,-97.5948492015742,14,18.53017004562569
7470632,7350981,TX,WEBB,H,729.0,KB,ST_TXRRC,728.7,DF,ST_TXRRC,710.0,ST_TXRRC,GR,19,2014-05-21,28.190270482407,-99.9741141039658,19,21.650286154981423
5069039,4986701,OK,PONTOTOC,V,872.0,DF,UNKNOWN,,,,860.47,FD_USGS,EG,12,1927-12-05,34.90345764,-96.47797073,12,11.194703479485572
6143073,6044200,ND,BOTTINEAU,H,1531.0,KB,ST_NDOGD,,,,1517.0,ST_NDOGD,GR,14,2002-03-04,48.7396200154986,-101.226405797902,14,17.04963799232024
7248025,7138968,OH,WASHINGTON,V,636.0,KB,ST_OHDNR,,,,630.0,ST_OHDNR,GR,6,1979-07-05,39.434937678268,-81.3598657776117,6,7.8175170870659425
7453952,7334978,WY,CAMPBELL,H,5203.0,KB,STATE,5203.0,DF,STATE,5175.0,STATE,GR,28,2014-04-09,43.6942711382198,-105.537946118573,28,25.82270186970523
7480594,7360395,CO,WELD,H,4728.0,DF,ST_COOGC,4727.0,KB,ST_COOGC,4704.0,ST_COOGC,GR,24,2014-07-25,40.508756370077,-104.450336810515,24,23.653738523391066
7061123,6952241,OH,ATHENS,V,941.0,DF,ST_OHDNR,,,,910.53,FD_USGS,EG,30,1972-07-28,39.2999342895613,-82.0318582388781,30,22.398069947268233
6085190,5986766,TX,MAVERICK,V,770.0,KB,STATE,,,,764.0,STATE,GR,6,1983-03-30,28.6712225595343,-100.208050816133,6,9.195173504022033
4185178,4123381,TX,BRAZORIA,D,48.0,KB,ST_TXRRC,47.2,DF,ST_TXRRC,14.5,ST_TXRRC,GR,34,2003-05-13,28.9887137032186,-95.6844144588958,34,26.541992105864516
6283990,6182786,TX,REAGAN,V,2716.0,KB,UNKNOWN,,,,2703.0,UNKNOWN,GR,13,1997-07-11,31.5808838343261,-101.773568795669,13,13.470250223756043
6731057,6625018,TX,WARD,V,2639.0,KB,UNKNOWN,,,,2625.0,UNKNOWN,GR,14,1990-08-31,31.6067741329178,-102.979311050049,14,13.775617423122782
7756800,7622897,TX,MADISON,V,238.0,KB,ST_TXRRC,236.5,DF,ST_TXRRC,215.0,ST_TXRRC,GR,23,2017-04-29,31.007631985419,-95.7080895000563,23,19.29062241388496
